DATE,OPP,RESULT,ATT,YDS,AVG,LNG,TD
Sun 12/31,vs ARI,W 27-20,16,66,4.1,11,0
Sun 12/24,@ SEA,W 20-17,22,123,5.6,62,0
Sun 12/17,vs KC,W 20-9,25,199,8,85,2
Sun 12/10,vs DEN,W 48-20,28,103,3.7,17,3
Sun 12/3,@ BUF,W 24-21,28,178,6.4,51,2
Sun 11/26,vs OAK,W 21-14,19,109,5.7,44,2
Sun 11/19,@ DEN,W 35-27,20,105,5.3,24,3
Sun 11/12,@ CIN,W 49-41,22,104,4.7,17,4
Sun 11/5,vs CLE,W 32-25,18,172,9.6,41,3
Sun 10/29,vs STL,W 38-24,25,183,7.3,51,2
Sun 10/22,@ KC,L 27-30,15,66,4.4,19,0
Sun 10/15,@ SF,W 48-19,21,71,3.4,9,4
Sun 10/8,vs PIT,W 23-13,13,36,2.8,12,0
Sun 10/1,@ BAL,L 13-16,26,98,3.8,29,0
Sun 9/17,vs TEN,W 40-7,19,71,3.7,15,2
Mon 9/11,@ OAK,W 27-0,31,131,4.2,58,1
