DATE,OPP,RESULT,ATT,YDS,AVG,LNG,TD
Mon 11/19,vs KC,W 54-51,12,55,4.6,24,0
Sun 11/11,vs SEA,W 36-31,16,120,7.5,17,1
Sun 11/4,@ NO,L 35-45,13,68,5.2,24,1
Sun 10/28,vs GB,W 29-27,25,114,4.6,23,0
Sun 10/21,@ SF,W 39-10,15,63,4.2,18,2
Sun 10/14,@ DEN,W 23-20,28,208,7.4,29,2
Sun 10/7,@ SEA,W 33-31,22,77,3.5,16,3
Thu 9/27,vs MIN,W 38-31,17,83,4.9,10,0
Sun 9/23,vs LAC,W 35-23,23,105,4.6,14,1
Sun 9/16,vs ARI,W 34-0,19,42,2.2,11,3
Mon 9/10,@ OAK,W 33-13,20,108,5.4,23,0
REGULAR SEASON STATS,210,"1,043",5,29,13,43,441
